No,NOPOSHUJAN,WMOID,Nama,PULAU,PROV,LAT,LON
119,74010701a,97142,Stasiun Meteorologi Sangia Ni Bandera,SULAWESI,Sulawesi Tenggara,-4.18059,121.61077
120,74710201a,97144,Stasiun Meteorologi Maritim Kendari,SULAWESI,Sulawesi Tenggara,-3.9701,122.5895
121,74710202a,97146,Stasiun Geofisika Kendari,SULAWESI,Sulawesi Tenggara,-3.96,122.62
122,74050802a,97150,Stasiun Klimatologi Konawe Selatan,SULAWESI,Sulawesi Tenggara,-4.056,122.449
123,73090102a,97180,Stasiun Meteorologi Sultan Hasanuddin,SULAWESI,Sulawesi Selatan,-5.07,119.55
124,73710701a,97182,Stasiun Meteorologi Maritim Paotere,SULAWESI,Sulawesi Selatan,-5.11375,119.41983
125,73090401a,97184,Stasiun Klimatologi Maros,SULAWESI,Sulawesi Selatan,-4.9308,119.572
126,73060802a,97186,Stasiun Geofisika Gowa,SULAWESI,Sulawesi Selatan,-5.218,119.47
127,74720101a,97192,Stasiun Meteorologi Beto Ambari,SULAWESI,Sulawesi Tenggara,-5.47,122.62
128,51030102a,97230,Stasiun Meteorologi I Gusti Ngurah Rai ,BALINUSRA,Bali,-8.75,115.17
129,51710302a,97232,Stasiun Geofisika Denpasar,BALINUSRA,Bali,-8.67689,115.21
130,TidakAda,97234,Pos Pengamatan Kahang-Kahang,BALINUSRA,Bali,-8.365,115.61083
131,51010102a,97236,Stasiun Klimatologi Jembrana,BALINUSRA,Bali,-8.341,114.6176
132,52020403a,97240,Stasiun Meteorologi Zainuddin Abdul Madjid,BALINUSRA,Nusa Tenggara Barat,-8.75277,116.24982
133,52010202a,97242,Stasiun Klimatologi Lombok Barat,BALINUSRA,Nusa Tenggara Barat,-8.63627,116.17094
134,52040802a,97260,Stasiun Meteorologi Sultan Muhammad Kaharuddin,BALINUSRA,Nusa Tenggara Barat,-8.48845,117.41336
135,52061803a,97270,Stasiun Meteorologi Sultan Muhammad Salahuddin,BALINUSRA,Nusa Tenggara Barat,-8.54279,118.6928
136,53150503a,97282,Stasiun Meteorologi Komodo,BALINUSRA,Nusa Tenggara Timur,-8.48673,119.88683
137,53101203a,97284,Stasiun Meteorologi Frans Sales Lega,BALINUSRA,Nusa Tenggara Timur,-8.63,120.45
138,53070504a,97300,Stasiun Meteorologi Fransiskus Xaverius Seda,BALINUSRA,Nusa Tenggara Timur,-8.63577,122.23752
139,53060304a,97310,Stasiun Meteorologi Gewayantana,BALINUSRA,Nusa Tenggara Timur,-8.2752,122.9986
140,53051002a,97320,Stasiun Meteorologi Mali,BALINUSRA,Nusa Tenggara Timur,-8.13471,124.59
141,53111603a,97340,Stasiun Meteorologi Umbu Mehang Kunda,BALINUSRA,Nusa Tenggara Timur,-9.66944,120.29972
142,53710203a,97372,Stasiun Meteorologi Eltari,BALINUSRA,Nusa Tenggara Timur,-10.1678,123.67039
143,53710302a,97374,Stasiun Klimatologi Kupang,BALINUSRA,Nusa Tenggara Timur,-10.13861,123.66722
144,53140305a,97378,Stasiun Meteorologi David Constatijn Saudale,BALINUSRA,Nusa Tenggara Timur,-10.76662,123.07395
145,53200104a,97380,Stasiun Meteorologi Tardamu,BALINUSRA,Nusa Tenggara Timur,-10.5,121.83
146,82031401a,97406,Stasiun Meteorologi Gamar Malamo,MALUKU,Maluku Utara,1.84092,127.7905
147,82710301a,97430,Stasiun Meteorologi Sultan Babullah,MALUKU,Maluku Utara,0.8333,127.38
148,82720901a,97432,Stasiun Geofisika Ternate,MALUKU,Maluku Utara,0.7719,127.3667
149,82041701a,97460,Stasiun Meteorologi Oesman Sadik,MALUKU,Maluku Utara,-0.63784,127.5
150,92710101a,97502,Stasiun Meteorologi Seigun,PAPUA,Papua Barat,-0.89118,131.28575
151,92710301a,97504,Stasiun Geofisika Sorong,PAPUA,Papua Barat,-0.86,131.26
152,92021501a,97530,Stasiun Meteorologi Rendani,PAPUA,Papua Barat,-0.89227,134.05041
153,91060101a,97560,Stasiun Meteorologi Frans Kaisiepo,PAPUA,Papua,-1.19069,136.10361
154,91150101a,97570,Stasiun Meteorologi Sudjarwo Tjondro Negoro,PAPUA,Papua,-1.8754,136.23994
155,91100101a,97580,Stasiun Meteorologi Mararena,PAPUA,Papua,-1.85,138.75
156,82050201a,97600,Stasiun Meteorologi Emalamo,MALUKU,Maluku Utara,-2.05,126
157,92020101a,97630,Stasiun Meteorologi Torea,PAPUA,Papua Barat,-2.91938,132.26496
158,91040101a,97682,Stasiun Meteorologi Moanamani,PAPUA,Papua,-3.3521,135.52
159,91020101a,97686,Stasiun Meteorologi Wamena Jaya Wijaya,PAPUA,Papua,-4.07,138.95
160,91030102a,97690,Stasiun Meteorologi Sentani,PAPUA,Papua,-2.57,140.48
161,91030702a,97692,Stasiun Klimatologi Jayapura,PAPUA,Papua,-2.59231,140.16792
162,92020202a,97694,Stasiun Klimatologi Manokwari Selatan,PAPUA,Papua Barat,-1.47,134.19
163,TidakAda,97696,Stasiun Geofisika Angkasapura,PAPUA,Papua,-2.51461,140.70431
164,91710103a,97698,Stasiun Meteorologi Dok II Jayapura,PAPUA,Papua,-2.53,140.72
165,81040101a,97700,Stasiun Meteorologi Namlea,MALUKU,Maluku,-3.25,127.08
166,81010104a,97722,Stasiun Meteorologi Amahai,MALUKU,Maluku,-3.3464,128.9284
167,81710402a,97724,Stasiun Meteorologi Pattimura,MALUKU,Maluku,-3.7114,128.0957
168,81060102a,97726,Stasiun Klimatologi Seram Bagian Barat,MALUKU,Maluku,-3.25,128.4
169,81710201a,97728,Stasiun Geofisika Karang Panjang,MALUKU,Maluku,-3.69,128.19
170,81710103a,97730,Stasiun Meteorologi Maritim Ambon,MALUKU,Maluku,-3.79053,128.10075
171,81050201a,97748,Stasiun Meteorologi Geser,MALUKU,Maluku,-3.8813,130.88
172,92080101a,97760,Stasiun Meteorologi Utarom,PAPUA,Papua Barat,-3.67,133.75
173,91080101a,97780,Stasiun Meteorologi Enarotali,PAPUA,Papua,-3.92688,136.38
174,81010901a,97790,Stasiun Meteorologi Bandaneira,MALUKU,Maluku,-4.52338,129.9043
175,91090103a,97796,Stasiun Meteorologi Mozez Kilangin,PAPUA,Papua,-4.53006,136.89348
176,81720101a,97810,Stasiun Meteorologi Karel Sadsuitubun,MALUKU,Maluku,-5.6637,132.7362
177,91040102a,97812,Stasiun Geofisika Nabire,PAPUA,Papua,-5.64,132.75
178,91160102a,97876,Stasiun Meteorologi Tanah Merah,PAPUA,Papua,-6.1,140.31
179,81030103a,97900,Stasiun Meteorologi Mathilda Batlayeri,MALUKU,Maluku,-7.98,131.3
180,91010601a,97978,Stasiun Klimatologi Tanah Miring,PAPUA,Papua,-8.387,140.517
181,91010132a,97980,Stasiun Meteorologi Mopah,PAPUA,Papua,-8.52019,140.41568
182,TidakAda,99992,Balai Besar Meteorologi Klimatologi dan Geofisika Wilayah II,JAWA,Banten,-6.30253,106.75636
